buyer_id,name,email,password,contact_number,location,registration_date,status,purchase_history
e19e54e1-6205-4573-967a-fef7a3803e80,Rafid Saefullah,atamba@gmail.com,(DB3Dwd4wM,+62-779-4706-6503,Pariaman,2018-12-09 14:17:54,Active,4.83
612005ce-bc83-4b2b-b753-edb4d800c7bd,Dr. Latika Hidayanto,galuh47@hotmail.com,IyPyCOMi!8,+62-437-9951-7200,Tanjungpinang,2003-06-06 16:17:10,Inactive,4.28
1479b448-93ac-4c08-8fa3-70c51264463c,Praba Hakim,maidasitompul@yahoo.com,V*nLl4XMWv,+62-835-9754-9217,Yogyakarta,1973-08-13 21:02:46,Inactive,1.92
6c77a081-df51-426a-a8f1-7869b9a74d38,"Muhammad Utama, M.Farm",sabrizulaika@yahoo.com,*vEu^#rr%2,+62-340-9767-7065,Makassar,2017-10-29 16:05:17,Inactive,4.37
06de8ca8-6aa8-4980-a28d-1d024fb10abe,Najib Budiman,lhasanah@yahoo.com,%H8C5Hn1l8,+62-321-8308-8979,Pontianak,2007-07-04 16:05:09,Active,2.96
baa6af82-45cd-427c-afc2-18166e0c7224,Puti Vanya Salahudin,usuartini@hotmail.com,P0EaQGsl^y,+62-628-9100-8324,Banjarmasin,2004-09-19 00:19:26,Active,1.22
894756c0-f87b-45a0-ba48-b6f44d5a2ea5,"Dina Prakasa, M.M.",mustofakanda@hotmail.com,jjia8EksN+,+62-873-5464-4694,Surakarta,1999-08-13 21:59:26,Inactive,4.99
4e369904-eb56-47de-94e8-221b5d4dec2d,Ida Prabowo,wibowomalika@gmail.com,H@C7QnkE%5,+62-102-7365-2030,Tangerang Selatan,1986-01-26 21:32:43,Inactive,3.0
3194c95f-b8d4-400c-86be-696c2863c17e,T. Raditya Mardhiyah,karma19@gmail.com,f+399BS5dz,+62-932-1304-4116,Kotamobagu,1992-03-02 21:29:49,Inactive,3.06
ef4dee1d-85c8-4157-8a50-73ecee5ec6aa,Daru Ramadan,asirwanda63@gmail.com,^d44QEXq%9,+62-985-2490-3824,Lubuklinggau,2012-06-20 00:45:29,Inactive,1.56
aa002dd9-d407-43e1-9971-1513a057aa71,"R. Zulfa Megantara, S.E.I",emplukhalim@yahoo.com,l3MguX!z^q,+62-462-1698-2899,Tangerang Selatan,1979-03-03 10:24:46,Inactive,4.36
33313941-63ab-47b4-828a-f90cbc378580,Suci Sinaga,dgunawan@yahoo.com,$7%gVhSj@i,+62-730-6271-4539,Ternate,2019-10-29 07:22:51,Inactive,3.15
84c2f224-3e23-434f-ad43-ce81786020ac,"Tgk. Taufik Puspasari, M.Pd",dalimin84@gmail.com,(08L2jJr(o,+62-337-2123-4778,Jayapura,1983-06-27 23:42:30,Inactive,4.0
df8210e4-fb48-419d-a2f8-c80034d9cfbc,Widya Prasetya,gadang54@hotmail.com,%k7FSkCU(Z,+62-720-3535-1601,Surabaya,1980-04-17 08:57:03,Active,1.59
595e7b66-d941-4382-ac25-ef858bdd9aff,Dadi Pradana,restuusamah@gmail.com,S_!0DG%e9#,+62-933-4800-5832,Banda Aceh,1990-11-24 15:12:17,Active,2.66
10e0f84d-7377-4c7b-acf8-f5e2f5d96993,R. Lidya Ardianto,bahuraksakusmawati@gmail.com,$B1i+Fpx&U,+62-727-1504-2053,Madiun,2022-01-24 04:45:25,Active,4.18
ae7bd274-9635-4447-9d00-121561f46226,Jarwa Hardiansyah,andrianiraden@hotmail.com,4%Utw5Nx_X,+62-139-9229-3273,Medan,1982-09-17 18:37:01,Active,2.84
d6aea538-8a3d-43fc-9aad-f55db5df38a8,"Ir. Vicky Kusumo, M.Farm",zmaulana@gmail.com,^*8JUvtYF4,+62-372-6476-7728,Palu,2005-06-15 22:11:21,Inactive,1.06
d7596bb2-1d07-40d1-89bc-9a6f8b0db584,"Hani Halimah, S.Pd",nfirmansyah@yahoo.com,&wOg*Jr7^2,+62-349-8791-8628,Sabang,1987-12-10 07:26:45,Inactive,3.24
fecbd122-972e-4fad-b5d4-4e5ac835868a,"Cut Elma Nashiruddin, S.Psi",aditya31@gmail.com,%RD0!$Hsr#,+62-609-8231-2724,Cirebon,2005-07-28 03:42:04,Active,3.37
a204bc38-ff2d-481c-a09f-a7c5b338224e,"R. Cakrabuana Farida, S.E.I",namagaalambana@gmail.com,BwlMT1G1!8,+62-248-3723-7510,Pematangsiantar,1993-07-18 04:04:28,Active,1.57
71038acf-6aa2-4aeb-a3ce-54138cbfd5f6,R. Rahmi Hartati,tinalaksmiwati@hotmail.com,@E0vHCiEl5,+62-631-6990-7436,Prabumulih,1978-10-16 00:16:44,Inactive,2.35
afd6d2c4-0087-4d05-86c4-83ad09143454,Tgk. Endah Marbun,gandarahimah@hotmail.com,6IBYL5Mys#,+62-945-5482-2072,Bekasi,2023-07-16 19:02:15,Active,4.88
718802ca-5c0d-4e42-bca3-f5e4bd1b5f7a,Pia Nuraini,aisyahastuti@gmail.com,HHB1WBth)!,+62-186-2208-4485,Purwokerto,1976-07-15 02:23:59,Inactive,3.47
6947e762-73f1-4f04-a10d-cc89a0510904,Hj. Uchita Mayasari,ikurniawan@hotmail.com,lR)1VoVdAM,+62-270-5130-7982,Payakumbuh,1984-05-07 17:35:42,Active,3.23
957f8120-0a56-45ed-94b5-c760b4508532,Nalar Suryatmi,tambakania@yahoo.com,#Eb_&9CgD^,+62-216-6846-2687,Kota Administrasi Jakarta Pusat,1980-07-04 12:05:57,Inactive,4.95
31f1d3fe-442d-4c08-b95f-424f1dc0d89e,Dt. Kasusra Maryadi,handayaniwakiman@hotmail.com,Rke1MOIz%K,+62-497-5113-7551,Banjarmasin,2015-01-13 06:47:17,Active,3.44
d6884fc4-8ec7-4945-b353-c2ea6b4ac95b,Amelia Saragih,oktavianikemal@gmail.com,+8)GpVNjCk,+62-855-7331-6124,Palu,1982-10-24 04:25:04,Inactive,4.88
16833f0e-fee1-4458-8066-a6a4d7096544,Sutan Adikara Suryono,rajatamarsudi@gmail.com,%0ZFNaUgWl,+62-647-5665-3109,Serang,2014-10-04 02:17:49,Active,4.11
34841c98-8e40-461a-98d4-ad66dc9dcb37,"Janet Usada, M.Ak",puput60@yahoo.com,@_F6rXnUMf,+62-318-9286-3201,Bima,2002-01-11 18:59:03,Inactive,3.26
55a674b0-f518-4ca6-ad12-bb5ef2996918,Unggul Widodo,inamaga@hotmail.com,1F0HHlr_$1,+62-374-5684-1419,Yogyakarta,1993-07-23 05:09:20,Inactive,3.43
f159260b-4168-42c2-8d74-8d0b60fc3ad8,Calista Haryanto,jindramaulana@hotmail.com,hRAN8YBp%5,+62-164-5358-9280,Serang,1974-05-10 23:02:18,Inactive,3.99
9747f71c-64eb-4496-811d-018c7cc55862,Padma Halim,spudjiastuti@gmail.com,66^1XG&v4(,+62-500-4800-9042,Kendari,1983-06-02 04:37:58,Active,3.76
2e3dd75f-a7ca-46fb-91be-68d0abf200bf,Sari Uyainah,dongoranarsipatra@yahoo.com,xE2$W+RbT^,+62-637-9280-9072,Pagaralam,1992-05-21 21:59:41,Active,1.39
0c7f2481-0dac-40ea-8222-70b598ab0b46,R.A. Siti Prasetya,suryonoellis@hotmail.com,urJD34Fw#7,+62-852-3979-7395,Tangerang,2001-10-25 00:48:38,Active,3.56
5c57cc6e-ad6b-4869-b0d0-718e4e282363,"Drs. Luwes Kuswandari, M.Kom.",khartati@hotmail.com,ki8vRqdv(8,+62-483-5911-1185,Pematangsiantar,1978-05-15 23:50:47,Inactive,3.53
af4cc0ab-a01c-45c5-b73a-a1e99d9c3e6f,Rini Handayani,gardayolanda@gmail.com,7%U8KyKgV%,+62-172-5507-3525,Kota Administrasi Jakarta Selatan,1972-04-10 17:47:36,Inactive,2.64
c2fea2d8-b99a-43bc-8f69-736dd1bb1adc,"Ir. Bakianto Anggraini, S.Pd",prayoga65@yahoo.com,+5bPFXd6p0,+62-128-4662-9394,Kotamobagu,2016-08-02 04:19:04,Inactive,2.93
2343ff37-a0dc-4004-8f6b-5706dc5d1b57,Drs. Halima Rahimah,mahdi19@hotmail.com,9LIuRrnW%l,+62-973-3835-2788,Bontang,1994-04-24 19:37:34,Inactive,3.82
cf0daf31-295a-4028-92ad-fedc3fd77198,Safina Yulianti,kartikawahyudin@hotmail.com,J2XvfPvu%v,+62-896-1942-6798,Kupang,2005-01-30 20:42:23,Active,2.75
85181a2f-9fde-49b6-80d4-53605ed02e80,Jati Maulana,kamariapudjiastuti@yahoo.com,)&F%MIdYw5,+62-371-1136-6867,Batu,2013-08-08 04:01:12,Active,1.59
b9735fb1-5e9d-45b2-b8de-fc4c76abe30c,Cut Zalindra Anggraini,sakurakurniawan@hotmail.com,@la$0DkdXP,+62-814-3564-2026,Manado,2011-04-29 15:20:21,Inactive,1.88
f986ce40-6c28-4f4a-a183-0d8c968ae946,Intan Mardhiyah,umimaryadi@yahoo.com,^8Mtmh4(Cb,+62-516-1319-6425,Kota Administrasi Jakarta Timur,2002-10-07 18:25:46,Active,1.79
de240841-2a02-4944-81bc-f8a935a427c7,Queen Pangestu,jinawi92@hotmail.com,+s@hXsZS@9,+62-955-9275-4324,Subulussalam,1985-02-09 06:09:51,Inactive,4.1
479b7497-ec2e-400f-8201-24b4f01ce511,Prabowo Nuraini,maulanawisnu@yahoo.com,+zYFBt+S1g,+62-150-9821-2571,Tanjungbalai,1974-10-26 21:06:03,Inactive,1.94
e0873e5c-0022-4326-bd38-d18a1865c142,Ir. Samsul Permata,tirtayasa13@hotmail.com,!j3J0#kUc4,+62-962-4491-4807,Probolinggo,1970-09-27 02:04:12,Active,4.25
c5ee613c-d49f-4083-bc09-deaeb540a50f,"Adiarja Yulianti, S.Pd",opangestu@yahoo.com,QGSx2MYpc*,+62-479-8422-3833,Sungai Penuh,2015-02-01 11:24:54,Inactive,4.49
0a35a6c1-1ee3-4976-827c-f4f8c09ac0f7,Malika Prabowo,ahardiansyah@gmail.com,*u#J#pwa9!,+62-573-3869-9091,Semarang,1978-12-05 13:17:16,Active,4.66
a2e84261-41ba-4070-8131-a7057562a8f8,Rachel Riyanti,duwais@yahoo.com,R3Y$6QglOB,+62-140-4571-4154,Manado,1983-02-19 19:23:12,Active,3.64
4a5cd16c-74eb-4b5c-8f67-04cde5fe6b9b,"KH. Ade Utama, S.Psi",umi65@hotmail.com,l^J8H(Dfki,+62-860-5699-5204,Kendari,1999-02-07 11:15:28,Active,1.99
6c49a62d-0111-4665-a070-8219e66b7842,dr. Najwa Novitasari,gatra81@gmail.com,x_ZSGM*r)0,+62-508-9803-6243,Kota Administrasi Jakarta Pusat,2005-02-05 10:50:31,Active,2.45
7c693d37-f635-42ca-96d8-92644907ba83,Ir. Dimas Narpati,knugroho@gmail.com,&ZOLQFmcP6,+62-551-5258-3775,Kendari,2010-05-02 07:56:06,Active,2.35
653140ea-c2d1-46bf-a95a-514a8803afec,Hani Halim,adika43@gmail.com,*4Za1nAj)%,+62-419-7936-1443,Makassar,1983-07-06 20:47:38,Active,2.81
a1ddb372-8e81-4878-a046-dc95dd6734f8,"Wirda Ardianto, S.Pd",humaira68@gmail.com,t(y9Knqayl,+62-921-2953-2759,Bukittinggi,1977-12-02 17:07:43,Active,3.93
96afc07e-8ef4-4bfd-824b-68539dfcb56a,"Dr. Dadap Aryani, S.Ked",harsana09@gmail.com,#5Dhrb^%M9,+62-531-1886-9620,Surabaya,2010-08-26 13:42:53,Inactive,3.33
9b80bcf8-b0bf-46a0-a087-b9075e4dd1fb,Puti Zamira Firgantoro,msalahudin@gmail.com,J!x3*ZbaO4,+62-376-8664-5130,Bima,2022-10-14 03:07:15,Inactive,4.19
b18fa6fe-b99a-4b66-a18f-865eb35092db,"Cut Cornelia Simbolon, S.H.",hastutikenes@hotmail.com,(+z5FUiG@R,+62-451-6896-5439,Padang Sidempuan,2018-09-18 19:24:34,Active,4.28
1122f2f9-bda8-4d17-9c48-febd2d03b76d,Lidya Pranowo,gamanfarida@yahoo.com,J3ToQaJ5%m,+62-285-5815-8842,Tidore Kepulauan,1993-07-20 06:03:42,Active,1.28
ae602818-7feb-405b-99e8-33e7fa345c19,Tira Yolanda,vinolatupono@gmail.com,&0^kI_pSf*,+62-335-9866-2188,Balikpapan,2010-11-24 03:21:53,Active,3.78
828cb9ff-ee91-4118-871f-03656d784671,"Violet Haryanto, S.H.",candrakantayulianti@hotmail.com,9$7NpePT@9,+62-350-8059-6381,Cilegon,2017-01-24 05:08:54,Inactive,1.25
686c8419-8f5a-4b4b-9883-acffc58d3920,Febi Pangestu,iriananatsir@hotmail.com,8@BS3HOvHW,+62-455-1977-7404,Pekanbaru,1985-07-13 21:57:43,Active,4.49
98ebaed8-09dc-40d8-8bb6-9b8901fb4afb,Karma Iswahyudi,simbolontedi@yahoo.com,vQ590*Qv@a,+62-220-7775-1450,Binjai,1976-10-03 18:48:58,Inactive,3.42
a216eb1e-2c3b-49e4-921f-66aa2e162bc3,Dr. Ghaliyati Mandasari,halimahmartani@hotmail.com,((9XxBd!J_,+62-275-5255-9516,Cirebon,1975-05-30 22:53:24,Inactive,3.61
864563b8-b5f8-41c3-9362-1d759f667be6,Ciaobella Tarihoran,queentarihoran@gmail.com,!tV8MviE%1,+62-641-7164-2040,Pekalongan,2023-03-03 06:04:00,Inactive,4.83
c11b39df-78b7-4271-bd5f-418b6a484cff,Oni Maulana,candrawastuti@hotmail.com,Wb0_Zl)8A),+62-408-9287-8914,Jambi,1991-12-28 08:55:59,Active,2.72
5a945347-9f0d-41f2-88d5-fe2539d8237d,dr. Gasti Winarsih,safitriparis@yahoo.com,V#$!8FntOs,+62-258-8910-8921,Subulussalam,1987-03-31 05:40:03,Active,2.37
475c27b9-ab58-4e72-b4f5-138d659ed373,Tgk. Septi Safitri,bsirait@hotmail.com,n9KOnctE*6,+62-296-9208-8342,Bandar Lampung,1970-12-18 10:50:40,Inactive,2.67
29854b49-7ece-4f34-a38a-51bce16a388f,Tgk. Harsanto Narpati,siregargadang@hotmail.com,Q#Vo&9HzXc,+62-230-3199-8843,Tangerang Selatan,1975-12-21 20:57:35,Inactive,3.53
8103071a-f62a-4f84-9e3d-b5632eb52d35,Tantri Dongoran,nilamadriansyah@yahoo.com,ZVao7KoR#G,+62-534-9227-1322,Batam,1978-04-22 23:00:44,Inactive,4.05
37b85144-8051-4174-9317-e53684338e2d,Darmaji Laksita,tdongoran@gmail.com,_w9nk9An!J,+62-518-9333-7909,Kotamobagu,2010-08-22 12:13:15,Inactive,1.54
fc1722f9-65e4-46da-a7b2-e8eaf81681b3,Dinda Hariyah,rosmansaptono@gmail.com,Y%4N!Hm3EZ,+62-936-3527-8747,Denpasar,2001-09-23 00:29:10,Inactive,2.61
9547bb78-29b5-44df-ba5d-5c844208a9ac,"Zelaya Novitasari, S.Pt",aris80@gmail.com,au0xU4HX%!,+62-766-3056-1743,Semarang,2015-04-27 12:19:39,Active,3.52
bbec52ea-6f30-4b90-90b8-b37cadd69002,Hartana Haryanto,agustinabaktiono@gmail.com,l2+qB51C(p,+62-628-8695-2707,Binjai,2023-03-04 14:41:50,Active,3.04
63b2f5eb-f7e7-417a-8842-a9e4f532b71b,"Eva Puspita, S.IP",dalionokurniawan@gmail.com,@6zqxRq@Kw,+62-365-7315-9630,Bandar Lampung,1980-03-07 13:45:03,Inactive,2.02
afa4a588-b87f-4717-a093-e21af67479b6,Febi Wibowo,andrianikiandra@yahoo.com,#xtMxi)C7S,+62-574-4254-3408,Malang,2004-01-23 12:26:51,Inactive,1.02
5b0e7c0b-b955-49e0-82e9-407e16567a42,"Dt. Legawa Nashiruddin, S.Ked",tutama@gmail.com,Zj7Ce^K@k+,+62-325-1097-3181,Bitung,1978-05-26 18:27:19,Active,2.62
37d15033-614f-4b8e-a8a7-3a641cdbf671,Usyi Waskita,rendy98@hotmail.com,6IqAESgb*^,+62-138-1949-8406,Pagaralam,1988-01-10 21:19:05,Active,2.22
42066f7a-cd85-4c8b-8db1-ec58ccbb57a5,drg. Maida Kuswandari,ajimat54@yahoo.com,)RN784Ay@7,+62-726-7270-1377,Kota Administrasi Jakarta Selatan,1974-10-18 20:43:24,Inactive,4.31
e94f1982-d973-48ee-b953-7de978292cd8,Julia Pratiwi,vbudiman@yahoo.com,VKT#n8(z0*,+62-886-9367-8072,Pagaralam,1987-04-13 08:03:19,Active,2.45
d3a70ad8-d700-490a-8625-8438d2a78bdc,"R. Puti Siregar, S.Sos",enugroho@hotmail.com,Gr8GaFyuy*,+62-403-8868-7231,Balikpapan,2015-07-21 13:56:38,Active,4.19
0cd282e9-d6ae-4860-a521-82b44c92aaae,"Eli Mahendra, S.Ked",yolandaomar@hotmail.com,4MZ0MRDu@d,+62-812-9279-5082,Padang Sidempuan,2020-07-28 07:24:26,Inactive,1.56
8d30c1f0-9383-4f83-8d3a-59687f2f212b,Gina Permadi,wulandarieman@hotmail.com,y%1jTUMrpl,+62-246-7743-7117,Depok,2003-09-15 03:23:39,Active,3.55
9d182e66-f48b-41b0-b335-8c7ab2db2cd0,Pangeran Aryani,salahudindariati@hotmail.com,*BEacT2$^4,+62-727-1770-1718,Gorontalo,1975-04-16 09:43:35,Active,3.85
ef18bbaf-4c6a-4c9f-a96c-0fcca517024a,Tari Andriani,qpermata@yahoo.com,0@nZqB_p+i,+62-769-7469-5960,Kupang,1996-03-17 13:48:59,Inactive,4.95
5b654d33-a3e8-4507-a285-4aef0d5019bd,Asmadi Setiawan,vmarbun@yahoo.com,L%B9MRo5fq,+62-812-8560-4276,Blitar,1985-09-08 03:25:22,Active,1.3
861b1258-0596-416e-b1ff-3e29361f2050,drg. Bahuwirya Tarihoran,mmustofa@yahoo.com,q&&H1JtfM^,+62-172-8515-5783,Tegal,2015-09-28 17:09:45,Active,3.83
c694f00b-7eab-4059-9e40-3435fda92a5f,Jumadi Sitompul,saka23@gmail.com,_T2Arx7dV_,+62-652-2953-2472,Pekanbaru,2019-03-01 05:59:11,Inactive,2.24
490ec27d-696d-4f14-a905-c9913c523102,"R.A. Wirda Prastuti, S.H.",parman52@gmail.com,!0BZSh^Nb8,+62-606-7121-4561,Madiun,2007-12-11 21:04:31,Active,2.08
8a7e6ab5-5519-435d-b993-5f9f96b9057a,Unjani Natsir,hana94@hotmail.com,dO&z7ZoG#M,+62-349-5406-5738,Surabaya,2024-10-01 00:52:43,Inactive,2.33
